date,open,high,low,close,volume,target,sma_7,sma_30,volatility,momentum_3d
2025-05-19,106454.27,107108.62,102000.0,105573.74,30260.03524,1,104284.82857142856,98010.71733333333,0.04798886883541632,0.020392040122207078
2025-05-20,105573.73,107320.0,104184.72,106849.99,23705.48275,1,104677.15285714285,98733.07566666667,0.029697539340515854,0.03610453747891551
2025-05-21,106850.0,110797.38,106100.01,109643.99,45531.040345,1,105553.74857142857,99470.66766666668,0.04396228357510538,0.029963385213518157
2025-05-22,109643.99,111980.0,109177.37,111696.21,31630.77313,0,106686.96285714286,100079.10833333334,0.025561182149609882,0.05799235681145709
2025-05-23,111696.22,111800.0,106800.0,107318.3,31737.72309,1,107237.59142857145,100533.34899999999,0.04476427223768181,0.004382873596899817
2025-05-24,107318.3,109506.03,106875.41,107761.91,16782.53129,1,107899.77142857143,100992.73033333334,0.024512315234214436,-0.017165373131714734
2025-05-25,107761.9,109299.99,106600.64,109004.19,17710.04695,1,108264.04714285715,101471.58066666666,0.025049205702572113,-0.02410126538760804
2025-05-26,109004.2,110422.22,108670.58,109434.79,14649.11593,0,108815.62571428572,101965.14033333333,0.016069472552433753,0.019721613182467346
2025-05-27,109434.78,110718.0,107516.57,108938.17,21276.65635,0,109113.93714285715,102471.436,0.02925422795202762,0.0109153596108309
2025-05-28,108938.17,109284.7,106769.43,107781.78,15633.78829,0,108847.90714285716,102897.12266666668,0.023088968724185508,-0.011214339558873854
2025-05-29,107781.78,108891.91,105322.86,105589.75,19834.70116,0,107975.55571428571,103274.88700000002,0.0331136672636136,-0.0351354445875941
2025-05-30,105589.75,106313.12,103621.0,103985.48,23706.49799,1,107499.43857142857,103602.00300000001,0.025496035363280958,-0.045463311895178715
2025-05-31,103985.47,104900.0,103068.55,104591.88,11289.35922,1,107046.57714285715,103872.06866666667,0.017612556831257262,-0.02959591129409811
2025-06-01,104591.88,105866.91,103752.49,105642.93,9709.70006,1,106566.39714285712,104163.92833333333,0.020215909686296853,0.0005036473710753331
